id,title,price,link
326729588313,Insalaco Archtop Cherry Burst 2010,"CHF 696,32",https://www.ebay.ch/itm/326729588313?itmmeta=01K6QYQS51FVMNEGG26T1E7ZKS&hash=item4c1299de59:g:C28AAeSwEOJonKyj&itmprp=enc%3AAQAKAAAA4MHg7L1Zz0LA5DYYmRTS30lzQoMTK68vRCDjN7vkk0Z1C8DdmSHrw0IUDyo8j586bPZhd2AgPOUCZgm%2B9EYgl8QUhkULEt3s19G1CDDoFvd4kNTPKOyPx5gmtWpY%2BfIrhmnABJkoWm%2Fzt6MhLwdBLeJhF%2FZATdMjaAlTv46toPZ3zmD42nFKmaQmpd0xeqJOhQmZx5LqKQfSDo%2Fr1oS18rVqUwIDXdstodsq2edQIvwcAi%2Fsf4ODxS93byzzk9bp4KOVrenCt%2BA8SYYzl%2BZd%2Fc5kOoLwCiEQk7WNvey%2BcGxO%7Ctkp%3ABk9SR9SS3_61Zg
326791900708,First Act Kassettenspieler Kunststoff Akustikgitarre,"CHF 15,88",https://www.ebay.ch/itm/326791900708?itmmeta=01K6QYQS51P23D7MPDWVS2PBVV&hash=item4c1650ae24:g:7iAAAeSwDt5o2Di1&itmprp=enc%3AAQAKAAAA4MHg7L1Zz0LA5DYYmRTS30lwAqhNSEVSGddJqf%2BiG2jfbsS4%2BGIf%2BanGqkgOMIY5ujZtzVkQZzyJmpcoWdotdf3nelFssOZ6BcxhASqvoKA4hedZL9trX2X63CkMxQPxHXbW2eDqdExkzce0SGm64cHPyVq020eC%2Fr2jreRIT6hOdvM2nUFPjULnSccvD%2BsgsaYmU21HBEYO0%2B5dm%2BQM7Ir80juDSULHQRIxyQAcRp9nYfjQABUavCWvyltUYU2nwoA6aCSKjxZFGIfyuXvXBtmrXshuAU8pyEmDCeEHDz7%2B%7Ctkp%3ABk9SR9aS3_61Zg
167780490908,Crocs South Park Clogs ALLE GRÖßEN Towelie Randy Kenny Cartman Herren Unisex NEU,"CHF 91,51",https://www.ebay.ch/itm/167780490908?itmmeta=01K6QYQS514JWQAH48GKQGKXYA&hash=item27107f1e9c:g:blcAAeSwDpZowHAv&itmprp=enc%3AAQAKAAAAwMHg7L1Zz0LA5DYYmRTS30mTAdCYcy31Y7oHAjR%2FVw%2BriT6UD3ZQ6XbD3HpOggijrimYXzl5%2FR5zwzQyn6%2BFqbzQMF%2FrTCeFttBVwiWDSAvbK2%2BBMdyb0Zt6V8Wk2cqpKSJipwmHujTvNu6pxHcrZWZeucNLOPuWPb0dQkG74oMdbQom0CJbWA%2B8fdYqG2FvI%2BEGLBBWC8J7OM6qj9IwcoqiAEO%2F1AGGuy%2BvTBsb4pY%2BH5RAu%2FK6vPp8wfg%2FTfet0w%3D%3D%7Ctkp%3ABk9SR9aS3_61Zg&var=467357836674
177299893236,OM42 Akustikgitarre E-Gitarre massive Fichtendecke Knochen Nuss Palisander Griffbrett,"CHF 293,65",https://www.ebay.ch/itm/177299893236?itmmeta=01K6QYQS51TXB0FDK96FWERFCS&hash=item2947e5abf4:g:6nwAAeSw1rhoiGbp&itmprp=enc%3AAQAKAAAA4MHg7L1Zz0LA5DYYmRTS30m1md27JKgi27m3zd8oNzw92QHm4780roFWv%2BzwEFwpbOZt3S9zU9nc7NUJd7cvmiXXDiERfWhqBDH9zLFW%2F1YaoqkxQo8RKCBkEEzb5EWIXlmnE4rnCbaSGvJkXrl4zbhri2mwE1dapMHm5at2pb%2F3pZI9z688pAtnFI3e%2FzaUjnAF6Cpf1eFc412wXP7dtUl%2FVcCjSWm5DHEELduY4Lu66FyKGxiIF2ZVf9c250eoRpmrqw9mTssJPsmsLg2QC2B3NzZOw0PKIpFEwhwlgnW7%7Ctkp%3ABFBM1pLf_rVm
135490070536,Natürliche J-200 42 Zoll akustische E-Gitarre massive Fichtendecke geflammte Ahorndecke,"CHF 256,14",https://www.ebay.ch/itm/135490070536?itmmeta=01K6QYQS512T1RTYX762C7ZKJW&hash=item1f8bd66808:g:pAsAAOSwKRtnf5HK&itmprp=enc%3AAQAKAAAA4MHg7L1Zz0LA5DYYmRTS30l%2FswN5vFwmRJy56dZmOiH6ZOcKiXZt1BHokdSKxbTVupUWRIqIz3FVZ9%2FVhxXn6d%2B5%2BacD5wNQq2Itd1tDrxapYxP4boDbBF79fi%2B2G6mRp2sp6zH4RaWlGe5LISbZneCXRm%2FiRUMx1ZoCLtpIChPm3huuYQhmy4CykM88QlC%2BwE1%2BOWeK%2BEVnOdQU0jOZr5wHfhnKta1uR%2FPfAYBZmIyANAqaPTswwPBAeXE1wiqg7TjNLs4%2BQCM%2FddWfYH4uB78AQ1Q0KEN4yQPCgqrZHlHT%7Ctkp%3ABFBM1pLf_rVm
326645230974,2023 Alhambra 3CCWE1 klassische Akustikgitarre,"CHF 795,79",https://www.ebay.ch/itm/326645230974?itmmeta=01K6QYQS52DQ4ZM4E142HT51RG&hash=item4c0d92ad7e:g:zcEAAOSwCFxoUcWJ&itmprp=enc%3AAQAKAAAA4MHg7L1Zz0LA5DYYmRTS30l2u3Fe4%2FeWxwhj2IhtU7f%2BAbtQTEIc4cq2MGbe0WjdIHFk8n2jNCLuDwcdIvxHX%2FugHEnTqRTHAkjWUa0N5zcFNIfkOfqir0cVnBntdaxZTN3iXvnAuNbJLYpJZNxqhXYvS7thsphbqiurtNBVjyPPxcRQoikly7gnrPRR3sxyZzxJmK4WURYOv1kF9piaIvfQps31FCEMq4gjjIIMTCuUGjm5CiOC%2BCridTu9Vnpqb7bJEqkQzsljTMjLRKc8r9HrhJTdRejHQ8DNyAzcb0Fj%7Ctkp%3ABk9SR9aS3_61Zg
256746782227,Evermore Album Taylor Swift Akustikgitarre ❤️ NEU **VERSAND SO SCHNELL WIE MÖGLICH** TS Fan Merch,"CHF 477,47",https://www.ebay.ch/itm/256746782227?itmmeta=01K6QYQS52CEPZGQHQADEPFHPP&hash=item3bc74cfe13:g:i6kAAOSwjnhnWTS2&itmprp=enc%3AAQAKAAAAwMHg7L1Zz0LA5DYYmRTS30nnrLK6reW2%2FEP56xlLEMtA1eDsc4%2FjTVuxxNzujFnkrS2Yl5kwhl06zMbxTs80y6CzEmZlMpXK7isi10%2B03EETnUSYUWEdRxIADbHs5%2FiSlsYiyuSdthylIHIsA10ZocOcgm3toUP9kjYjhFY5K15uSH8g7jPCCv4BMFsvr0WnMPvfZyZwDqu9w5ebd8kFRDRBeWAOHEKTsv9pMv91g%2BzG%2BhZn%2FlSWMpkI9T21AsQjMg%3D%3D%7Ctkp%3ABk9SR9aS3_61Zg
321817520238,Akustikgitarre Pick Guard - Wählen Sie Ihre Farbe von Long Beach Music,"CHF 5,53",https://www.ebay.ch/itm/321817520238?itmmeta=01K6QYQS52A7VT9TFGW1ESPJJD&hash=item4aedd1a86e:g:fG4AAOSwy4heiSKb&itmprp=enc%3AAQAKAAAAwMHg7L1Zz0LA5DYYmRTS30nupCUqwVPZi5pLo5%2FsCYUDixlCm2GKAdQ3myDiUXqSts1zurKZQTjam5FVZKV%2FJA%2BPX08vpJJaOc%2BygknxG06H2AQVFVpyKmkF9SBXUKEhEmdabqvT1vJVJ5EWtlTVVD3ojM8QVRzPNpMAgT%2BZJDAgA2p3Q1WMUOMqfS6%2B6ijoJDc3sqidL58qX1J24nzow09kJKqnOPMhPlP3gi%2BDx4mlAvvEZNFkFev3KPboQ7wbUw%3D%3D%7Ctkp%3ABk9SR9aS3_61Zg&var=510744679527
267423629627,"Johnson JG-100 Full Size Folk, Stahlsaite, Akustik Studentengitarre Dark Walnut","CHF 86,74",https://www.ebay.ch/itm/267423629627?itmmeta=01K6QYQS52KJBBKP2YAWBXYFDZ&hash=item3e43b0c13b:g:LJAAAeSw8plo3qCk&itmprp=enc%3AAQAKAAAA4MHg7L1Zz0LA5DYYmRTS30lv%2FAL4vcf5vAOihDzsx42OqnXXJY9dOtzkuvUhvJkzhruNdaFIxJ7%2B4MtHPZ9SSY6SWPDZPpeFI4QxsIjYI1i0MM44aHZjHhSMOLwVZjWvxJTLLbV10gKMRlAwxM74%2FXgIGFadfoTjvswmLzQlA0saSzDSOGu69PSBE8NOBbJsz6DmbXKkvGmDOLCTsdyBlGBHyxWFWY6Go6yjfvpn3%2Bq4pWywVeuKgCGRWryIma6QMge1jrMZPKpbjjMw4AxkAbgVRodctvh65FRIs5JqZb8k%7Ctkp%3ABk9SR9aS3_61Zg
177461843102,NEUES ANGEBOTOvation 1651-7 2005 596555 gebrauchte Akustikgitarre,"CHF 2.265,38",https://www.ebay.ch/itm/177461843102?itmmeta=01K6QYQS52P673FC5AQMKCNERE&hash=item29518cd49e:g:sfQAAeSwxT1o4ITZ&itmprp=enc%3AAQAKAAAAwMHg7L1Zz0LA5DYYmRTS30k5asu2Uw699tmx5Zfbm1JUC17XDuXw5Cs7pEDT7b5IkjBK%2FkFMukZYpaEG6aii7UDFdfHTr2kvUWly7yQQ9FoKA9xSu6OoOfJMkj45jm5%2Bf%2Bu%2Bn7AEa9%2B7ugO3w3UAVP%2Bnx1vkCHFIKoGnHeRfLyrmVeoanx5Az6oFpJbxEP%2FRgfYedwTSGX3P%2FZvjyks1R059zoCjeJuDUfky5YBtPiakoTRPkwP5rdsWd115pLF9LQ%3D%3D%7Ctkp%3ABk9SR9aS3_61Zg
